element,source_recipe_dir,source_filename,kind,library_family,library_name,cfour_name,label_suffix,cfour_label,status,note,cfour_file
Ag,recipes/Ag/ccECP,Ag.aug-cc-pCVQZ.gamess,basis,ccECP,aug-cc-pCVQZ,aug-cc-pCVQZ-ccECP,-ccECP,Ag:aug-cc-pCVQZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pCVQZ -> aug-cc-pCVQZ-ccECP,by_element/Ag/Ag.aug-cc-pCVQZ.cfour
Ag,recipes/Ag/ccECP,Ag.aug-cc-pCVTZ.gamess,basis,ccECP,aug-cc-pCVTZ,aug-cc-pCVTZ-ccECP,-ccECP,Ag:aug-cc-pCVTZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pCVTZ -> aug-cc-pCVTZ-ccECP,by_element/Ag/Ag.aug-cc-pCVTZ.cfour
Ag,recipes/Ag/ccECP,Ag.aug-cc-pV5Z.gamess,basis,ccECP,aug-cc-pV5Z,aug-cc-pV5Z-ccECP,-ccECP,Ag:aug-cc-pV5Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pV5Z -> aug-cc-pV5Z-ccECP,by_element/Ag/Ag.aug-cc-pV5Z.cfour
Ag,recipes/Ag/ccECP,Ag.aug-cc-pVDZ.gamess,basis,ccECP,aug-cc-pVDZ,aug-cc-pVDZ-ccECP,-ccECP,Ag:aug-cc-pVDZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pVDZ -> aug-cc-pVDZ-ccECP,by_element/Ag/Ag.aug-cc-pVDZ.cfour
Ag,recipes/Ag/ccECP,Ag.aug-cc-pVQZ.gamess,basis,ccECP,aug-cc-pVQZ,aug-cc-pVQZ-ccECP,-ccECP,Ag:aug-cc-pVQZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pVQZ -> aug-cc-pVQZ-ccECP,by_element/Ag/Ag.aug-cc-pVQZ.cfour
Ag,recipes/Ag/ccECP,Ag.aug-cc-pVTZ.gamess,basis,ccECP,aug-cc-pVTZ,aug-cc-pVTZ-ccECP,-ccECP,Ag:aug-cc-pVTZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pVTZ -> aug-cc-pVTZ-ccECP,by_element/Ag/Ag.aug-cc-pVTZ.cfour
Ag,recipes/Ag/ccECP,Ag.cc-pCV5Z.gamess,basis,ccECP,cc-pCV5Z,cc-pCV5Z-ccECP,-ccECP,Ag:cc-pCV5Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pCV5Z -> cc-pCV5Z-ccECP,by_element/Ag/Ag.cc-pCV5Z.cfour
Ag,recipes/Ag/ccECP,Ag.cc-pCVDZ.gamess,basis,ccECP,cc-pCVDZ,cc-pCVDZ-ccECP,-ccECP,Ag:cc-pCVDZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pCVDZ -> cc-pCVDZ-ccECP,by_element/Ag/Ag.cc-pCVDZ.cfour
Ag,recipes/Ag/ccECP,Ag.cc-pCVQZ.gamess,basis,ccECP,cc-pCVQZ,cc-pCVQZ-ccECP,-ccECP,Ag:cc-pCVQZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pCVQZ -> cc-pCVQZ-ccECP,by_element/Ag/Ag.cc-pCVQZ.cfour
Ag,recipes/Ag/ccECP,Ag.cc-pCVTZ.gamess,basis,ccECP,cc-pCVTZ,cc-pCVTZ-ccECP,-ccECP,Ag:cc-pCVTZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: cc-pCVTZ -> cc-pCVTZ-ccECP,by_element/Ag/Ag.cc-pCVTZ.cfour
