element,atomic_number,source_recipe_dir,source_filename,source_format,all_source_formats,library_family,library_name,cfour_name,label_suffix,cfour_label,ncore,n_explicit_electrons,lmax,local_channel,nonlocal_channels,n_terms_per_channel,radial_powers,precision_digits_per_format,radial_power_convention,local_channel_convention,name_transformation,validation,cfour_file
K,19,recipes/K/ccECP,K.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,K:ccECP,10,9,2,d,s-d;p-d,d:4;s-d:2;p-d:2,1;2;3,gamess:233;gaussian:203;molpro:233;nwchem:233,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/K/K.ccECP.cfour
Kr,36,recipes/Kr/ccECP,Kr.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,Kr:ccECP,28,8,3,f,s-f;p-f;d-f,f:4;s-f:2;p-f:2;d-f:2,1;2;3,gamess:290;gaussian:252;molpro:290;nwchem:290,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Kr/Kr.ccECP.cfour
La,57,recipes/La/ccECP,La.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,La:ccECP,46,11,4,g,s-g;p-g;d-g;f-g,g:4;s-g:2;p-g:2;d-g:2;f-g:2,1;2;3,gamess:125;gaussian:125;molpro:125;nwchem:125,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/La/La.ccECP.cfour
Li,3,recipes/Li/ccECP,Li.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,Li:ccECP,2,1,1,p,s-p,p:3;s-p:1,1;2;3,gamess:80;gaussian:70;molpro:80;nwchem:80,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Li/Li.ccECP.cfour
Mg,12,recipes/Mg/ccECP,Mg.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem;plain,ccECP,ccECP,ccECP,,Mg:ccECP,10,2,2,d,s-d;p-d,d:3;s-d:2;p-d:2,1;2;3,gamess:95;gaussian:95;molpro:95;nwchem:95;plain:95,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Mg/Mg.ccECP.cfour
Mn,25,recipes/Mn/ccECP,Mn.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem;plain,ccECP,ccECP,ccECP,,Mn:ccECP,10,15,2,d,s-d;p-d,d:4;s-d:2;p-d:2,1;2;3,gamess:149;gaussian:149;molpro:229;nwchem:149;plain:149,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Mn/Mn.ccECP.cfour
Mo,42,recipes/Mo/ccECP,Mo.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem;plain,ccECP,ccECP,ccECP,,Mo:ccECP,28,14,3,f,s-f;p-f;d-f,f:4;s-f:3;p-f:3;d-f:3,1;2;3,gamess:191;gaussian:191;molpro:191;nwchem:191;plain:191,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Mo/Mo.ccECP.cfour
N,7,recipes/N/ccECP,N.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem;plain,ccECP,ccECP,ccECP,,N:ccECP,2,5,1,p,s-p,p:6;s-p:2,1;2;3,gamess:97;gaussian:97;molpro:97;nwchem:97;plain:97,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/N/N.ccECP.cfour
Na,11,recipes/Na/ccECP,Na.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem;plain,ccECP,ccECP,ccECP,,Na:ccECP,10,1,2,d,s-d;p-d,d:3;s-d:2;p-d:2,1;2;3,gamess:91;gaussian:91;molpro:91;nwchem:91;plain:91,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Na/Na.ccECP.cfour
Nb,41,recipes/Nb/ccECP,Nb.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,Nb:ccECP,28,13,3,f,s-f;p-f;d-f,f:4;s-f:2;p-f:2;d-f:2,1;2;3,gamess:146;gaussian:146;molpro:146;nwchem:146,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Nb/Nb.ccECP.cfour
Ne,10,recipes/Ne/ccECP,Ne.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,Ne:ccECP,2,8,1,p,s-p,p:3;s-p:1,1;2;3,gamess:111;gaussian:99;molpro:111;nwchem:111,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Ne/Ne.ccECP.cfour
Ni,28,recipes/Ni/ccECP,Ni.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem;plain,ccECP,ccECP,ccECP,,Ni:ccECP,10,18,2,d,s-d;p-d,d:4;s-d:2;p-d:2,1;2;3,gamess:224;gaussian:214;molpro:224;nwchem:224;plain:224,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Ni/Ni.ccECP.cfour
O,8,recipes/O/ccECP,O.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem;plain,ccECP,ccECP,ccECP,,O:ccECP,2,6,1,p,s-p,p:3;s-p:1,1;2;3,gamess:48;gaussian:48;molpro:48;nwchem:48;plain:48,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/O/O.ccECP.cfour
P,15,recipes/P/ccECP,P.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,P:ccECP,10,5,2,d,s-d;p-d,d:3;s-d:2;p-d:2,1;2;3,gamess:97;gaussian:97;molpro:97;nwchem:97,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/P/P.ccECP.cfour
Pb,82,recipes/Pb/ccECP,Pb.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,Pb:ccECP,78,4,4,g,s-g;p-g;d-g;f-g,g:4;s-g:2;p-g:2;d-g:2;f-g:2,1;2;3,gamess:150;gaussian:150;molpro:150;nwchem:150,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Pb/Pb.ccECP.cfour
Pd,46,recipes/Pd/ccECP,Pd.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem;plain,ccECP,ccECP,ccECP,,Pd:ccECP,28,18,3,f,s-f;p-f;d-f,f:4;s-f:3;p-f:3;d-f:3,1;2;3,gamess:194;gaussian:194;molpro:194;nwchem:194;plain:244,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Pd/Pd.ccECP.cfour
Pt,78,recipes/Pt/ccECP,Pt.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,Pt:ccECP,60,18,4,g,s-g;p-g;d-g;f-g,g:4;s-g:3;p-g:3;d-g:3;f-g:3,1;2;3,gamess:220;gaussian:220;molpro:220;nwchem:220,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Pt/Pt.ccECP.cfour
Rb,37,recipes/Rb/ccECP,Rb.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,Rb:ccECP,28,9,3,f,s-f;p-f;d-f,f:4;s-f:2;p-f:2;d-f:2,1;2;3,gamess:135;gaussian:135;molpro:135;nwchem:135,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Rb/Rb.ccECP.cfour
Re,75,recipes/Re/ccECP,Re.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,Re:ccECP,60,15,4,g,s-g;p-g;d-g;f-g,g:4;s-g:2;p-g:2;d-g:2;f-g:2,1;2;3,gamess:178;gaussian:178;molpro:178;nwchem:178,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Re/Re.ccECP.cfour
Rh,45,recipes/Rh/ccECP,Rh.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,Rh:ccECP,28,17,3,f,s-f;p-f;d-f,f:4;s-f:2;p-f:2;d-f:2,1;2;3,gamess:149;gaussian:149;molpro:149;nwchem:149,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Rh/Rh.ccECP.cfour
Ru,44,recipes/Ru/ccECP,Ru.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,Ru:ccECP,28,16,3,f,s-f;p-f;d-f,f:4;s-f:2;p-f:2;d-f:2,1;2;3,gamess:149;gaussian:149;molpro:149;nwchem:149,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Ru/Ru.ccECP.cfour
S,16,recipes/S/ccECP,S.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,S:ccECP,10,6,2,d,s-d;p-d,d:3;s-d:2;p-d:2,1;2;3,gamess:99;gaussian:99;molpro:99;nwchem:99,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/S/S.ccECP.cfour
Sb,51,recipes/Sb/ccECP,Sb.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,Sb:ccECP,46,5,3,f,s-f;p-f;d-f,f:4;s-f:2;p-f:2;d-f:2,1;2;3,gamess:113;gaussian:113;molpro:113;nwchem:113,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Sb/Sb.ccECP.cfour
