filename,element,orbital_basis,origin,source,n_functions,composition,max_L,sha256_16
Pt.aug-cc-pCV5Z.AutoAuxC.orca,Pt,aug-cc-pCV5Z,library,recipes/Pt/ccECP/Pt.aug-cc-pCV5Z.AutoAuxC.orca,90,S16 P15 D14 F14 G14 H7 I5 K5,k,d02e885935641c6e
Pt.aug-cc-pCVDZ.AutoAuxC.orca,Pt,aug-cc-pCVDZ,library,recipes/Pt/ccECP/Pt.aug-cc-pCVDZ.AutoAuxC.orca,69,S15 P13 D13 F12 G12 H4,h,92a34634b18a8cfc
Pt.aug-cc-pCVQZ.AutoAuxC.orca,Pt,aug-cc-pCVQZ,library,recipes/Pt/ccECP/Pt.aug-cc-pCVQZ.AutoAuxC.orca,84,S16 P14 D13 F13 G13 H6 I5 K4,k,9cc6f391dc5d1d5b
Pt.aug-cc-pCVTZ.AutoAuxC.orca,Pt,aug-cc-pCVTZ,library,recipes/Pt/ccECP/Pt.aug-cc-pCVTZ.AutoAuxC.orca,79,S16 P14 D13 F13 G13 H6 I4,i,d0937932bdeb7fea
Pt.aug-cc-pV5Z.AutoAuxC.orca,Pt,aug-cc-pV5Z,library,recipes/Pt/ccECP/Pt.aug-cc-pV5Z.AutoAuxC.orca,81,S15 P14 D13 F13 G12 H6 I4 K4,k,2436cc2af6784012
Pt.aug-cc-pVDZ.AutoAuxC.orca,Pt,aug-cc-pVDZ,library,recipes/Pt/ccECP/Pt.aug-cc-pVDZ.AutoAuxC.orca,62,S14 P12 D11 F11 G11 H3,h,7369b85fbd30e3d3
Pt.aug-cc-pVQZ.AutoAuxC.orca,Pt,aug-cc-pVQZ,library,recipes/Pt/ccECP/Pt.aug-cc-pVQZ.AutoAuxC.orca,76,S15 P13 D12 F12 G12 H5 I4 K3,k,6d3cf5e2730fe955
Pt.aug-cc-pVTZ.AutoAuxC.orca,Pt,aug-cc-pVTZ,library,recipes/Pt/ccECP/Pt.aug-cc-pVTZ.AutoAuxC.orca,70,S14 P13 D12 F12 G11 H5 I3,i,3cacc0dd06933c29
Pt.cc-pCV5Z.AutoAuxC.orca,Pt,cc-pCV5Z,library,recipes/Pt/ccECP/Pt.cc-pCV5Z.AutoAuxC.orca,81,S15 P14 D13 F13 G12 H6 I4 K4,k,eb78421a7ac8a9f9
Pt.cc-pCVDZ.AutoAuxC.orca,Pt,cc-pCVDZ,library,recipes/Pt/ccECP/Pt.cc-pCVDZ.AutoAuxC.orca,62,S14 P12 D11 F11 G11 H3,h,1834c07f328c4fad
